# 260226_15:46:14.327616
t	CH1	CH2
0.000000e+00	-4.752318e-03	2.242682e+00
1.000000e-08	-4.726543e-03	1.980024e+00
2.000000e-08	-4.851388e-03	1.686232e+00
3.000000e-08	-5.012142e-03	1.370973e+00
4.000000e-08	-4.322396e-03	1.055709e+00
5.000000e-08	-3.985268e-03	7.589210e-01
6.000000e-08	-4.529215e-03	4.766095e-01
7.000000e-08	-3.483495e-03	2.326287e-01
8.000000e-08	-2.044398e-03	-7.871041e-02
9.000000e-08	9.237100e-03	-3.573197e-01
1.000000e-07	-5.128145e-03	-6.200748e-01
1.100000e-07	3.666835e-03	-9.122918e-01
1.200000e-07	-4.693322e-03	-1.136870e+00
1.300000e-07	2.585230e-03	-1.502684e+00
1.400000e-07	-5.198263e-03	-1.714760e+00
1.500000e-07	2.156412e-02	-1.935342e+00
1.600000e-07	6.562906e-02	-2.156318e+00
1.700000e-07	4.249718e-02	-2.493211e+00
1.800000e-07	-1.075196e-01	-2.892103e+00
1.900000e-07	1.994585e-02	-3.250503e+00
2.000000e-07	-5.579206e-02	-3.493183e+00
2.100000e-07	-2.448851e-02	-3.692158e+00
2.200000e-07	-6.241402e-02	-3.985362e+00
2.300000e-07	2.205835e-01	-4.124211e+00
2.400000e-07	-1.691273e-01	-4.397466e+00
2.500000e-07	8.082542e-02	-4.622076e+00
2.600000e-07	2.966290e-02	-4.913833e+00
2.700000e-07	-1.230974e-01	-5.270544e+00
2.800000e-07	1.730768e-01	-5.544290e+00
2.900000e-07	-1.701176e-01	-5.839995e+00
3.000000e-07	1.301167e-01	-6.111631e+00
3.100000e-07	-3.125173e-02	-6.372809e+00
3.200000e-07	-8.078334e-02	-6.650403e+00
3.300000e-07	1.215901e-01	-6.952132e+00
3.400000e-07	-1.120853e-01	-7.209939e+00
3.500000e-07	8.895852e-02	-7.482096e+00
3.600000e-07	-1.004381e-01	-7.773712e+00
3.700000e-07	7.967146e-02	-8.059968e+00
3.800000e-07	1.789772e-02	-8.241626e+00
3.900000e-07	-7.345772e-02	-8.543229e+00
4.000000e-07	8.946049e-02	-8.796334e+00
4.100000e-07	-8.536410e-02	-9.018944e+00
4.200000e-07	5.682307e-02	-9.270372e+00
4.300000e-07	-7.431322e-02	-9.489520e+00
4.400000e-07	7.322037e-02	-9.772655e+00
4.500000e-07	-9.662106e-03	-9.944129e+00
4.600000e-07	-1.645143e-02	-1.012471e+01
4.700000e-07	2.094157e-03	-1.035465e+01
4.800000e-07	-1.846759e-02	-1.059584e+01
4.900000e-07	4.053981e-02	-1.076476e+01
5.000000e-07	-4.772514e-02	-1.096573e+01
5.100000e-07	4.268646e-02	-1.117583e+01
5.200000e-07	-2.913719e-02	-1.138383e+01
5.300000e-07	1.960412e-02	-1.157578e+01
5.400000e-07	-3.213869e-02	-1.182531e+01
5.500000e-07	3.009083e-02	-1.202631e+01
5.600000e-07	-9.975333e-03	-1.217633e+01
5.700000e-07	-5.992359e-04	-1.235413e+01
5.800000e-07	-6.411974e-03	-1.255312e+01
