# Temperatura_=_46.53
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302389.5141710365

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.986063e-06	-2.013905e-09	-5.691538e+01	-1.310196e+02
1.000000e-08	-7.982010e-06	-2.016749e-09	-5.688649e+01	-1.309785e+02
2.000000e-08	-7.975339e-06	-2.018034e-09	-5.683895e+01	-1.309035e+02
3.000000e-08	-7.965904e-06	-2.019585e-09	-5.677171e+01	-1.307943e+02
4.000000e-08	-7.953619e-06	-2.020404e-09	-5.668416e+01	-1.306518e+02
5.000000e-08	-7.938415e-06	-2.017038e-09	-5.657580e+01	-1.304777e+02
6.000000e-08	-7.920476e-06	-2.010164e-09	-5.644795e+01	-1.302747e+02
7.000000e-08	-7.900244e-06	-2.006373e-09	-5.630376e+01	-1.300457e+02
8.000000e-08	-7.877471e-06	-1.996321e-09	-5.614146e+01	-1.297938e+02
9.000000e-08	-7.851558e-06	-2.012162e-09	-5.595678e+01	-1.295218e+02
1.000000e-07	-7.822475e-06	-2.002431e-09	-5.574951e+01	-1.292315e+02
1.100000e-07	-7.790522e-06	-1.976110e-09	-5.552179e+01	-1.289238e+02
1.200000e-07	-7.755794e-06	-1.978275e-09	-5.527429e+01	-1.285981e+02
1.300000e-07	-7.718540e-06	-1.973190e-09	-5.500879e+01	-1.282527e+02
1.400000e-07	-7.679156e-06	-1.954140e-09	-5.472811e+01	-1.278848e+02
1.500000e-07	-7.637549e-06	-1.928884e-09	-5.443158e+01	-1.274909e+02
1.600000e-07	-7.593367e-06	-1.954513e-09	-5.411670e+01	-1.270670e+02
1.700000e-07	-7.546428e-06	-1.918393e-09	-5.378217e+01	-1.266098e+02
1.800000e-07	-7.496574e-06	-1.876924e-09	-5.342687e+01	-1.261164e+02
1.900000e-07	-7.443715e-06	-1.937130e-09	-5.305015e+01	-1.255853e+02
2.000000e-07	-7.388051e-06	-1.939265e-09	-5.265344e+01	-1.250163e+02
2.100000e-07	-7.329694e-06	-1.956193e-09	-5.223755e+01	-1.244107e+02
2.200000e-07	-7.268673e-06	-1.956102e-09	-5.180265e+01	-1.237710e+02
2.300000e-07	-7.205064e-06	-1.887901e-09	-5.134932e+01	-1.231010e+02
2.400000e-07	-7.138695e-06	-1.852164e-09	-5.087632e+01	-1.224048e+02
2.500000e-07	-7.069597e-06	-1.832481e-09	-5.038388e+01	-1.216863e+02
2.600000e-07	-6.997843e-06	-1.853985e-09	-4.987250e+01	-1.209492e+02
2.700000e-07	-6.923312e-06	-1.842180e-09	-4.934132e+01	-1.201957e+02
2.800000e-07	-6.846022e-06	-1.814354e-09	-4.879049e+01	-1.194267e+02
2.900000e-07	-6.765956e-06	-1.783881e-09	-4.821987e+01	-1.186418e+02
3.000000e-07	-6.683339e-06	-1.765400e-09	-4.763108e+01	-1.178387e+02
3.100000e-07	-6.598462e-06	-1.778920e-09	-4.702617e+01	-1.170142e+02
3.200000e-07	-6.511305e-06	-1.768452e-09	-4.640502e+01	-1.161641e+02
3.300000e-07	-6.421790e-06	-1.764899e-09	-4.576706e+01	-1.152841e+02
3.400000e-07	-6.329949e-06	-1.745651e-09	-4.511252e+01	-1.143704e+02
3.500000e-07	-6.235878e-06	-1.737256e-09	-4.444209e+01	-1.134196e+02
3.600000e-07	-6.139504e-06	-1.730236e-09	-4.375525e+01	-1.124301e+02
3.700000e-07	-6.040796e-06	-1.708045e-09	-4.305178e+01	-1.114014e+02
3.800000e-07	-5.939957e-06	-1.686461e-09	-4.233311e+01	-1.103346e+02
3.900000e-07	-5.837044e-06	-1.656163e-09	-4.159967e+01	-1.092323e+02
4.000000e-07	-5.732040e-06	-1.631343e-09	-4.085132e+01	-1.080977e+02
4.100000e-07	-5.625031e-06	-1.611310e-09	-4.008868e+01	-1.069349e+02
4.200000e-07	-5.516053e-06	-1.611254e-09	-3.931202e+01	-1.057474e+02
4.300000e-07	-5.405174e-06	-1.590301e-09	-3.852180e+01	-1.045385e+02
4.400000e-07	-5.292282e-06	-1.549893e-09	-3.771724e+01	-1.033103e+02
4.500000e-07	-5.177197e-06	-1.522196e-09	-3.689704e+01	-1.020637e+02
4.600000e-07	-5.060120e-06	-1.519317e-09	-3.606266e+01	-1.007981e+02
4.700000e-07	-4.941290e-06	-1.513418e-09	-3.521577e+01	-9.951166e+01
4.800000e-07	-4.820654e-06	-1.492926e-09	-3.435602e+01	-9.820140e+01
4.900000e-07	-4.698195e-06	-1.468496e-09	-3.348328e+01	-9.686373e+01
5.000000e-07	-4.573999e-06	-1.433988e-09	-3.259815e+01	-9.549484e+01
5.100000e-07	-4.448189e-06	-1.405859e-09	-3.170152e+01	-9.409111e+01
5.200000e-07	-4.320803e-06	-1.390031e-09	-3.079366e+01	-9.264955e+01
5.300000e-07	-4.191850e-06	-1.378001e-09	-2.987464e+01	-9.116805e+01
5.400000e-07	-4.061315e-06	-1.346169e-09	-2.894434e+01	-8.964549e+01
5.500000e-07	-3.929172e-06	-1.310787e-09	-2.800258e+01	-8.808175e+01
5.600000e-07	-3.795496e-06	-1.290584e-09	-2.704989e+01	-8.647753e+01
5.700000e-07	-3.660497e-06	-1.274596e-09	-2.608777e+01	-8.483405e+01
5.800000e-07	-3.524170e-06	-1.249146e-09	-2.511619e+01	-8.315276e+01
5.900000e-07	-3.386344e-06	-1.222129e-09	-2.413393e+01	-8.143495e+01
6.000000e-07	-3.247109e-06	-1.196136e-09	-2.314162e+01	-7.968150e+01
6.100000e-07	-3.106571e-06	-1.161299e-09	-2.214003e+01	-7.789264e+01
6.200000e-07	-2.964759e-06	-1.128499e-09	-2.112936e+01	-7.606787e+01
6.300000e-07	-2.821709e-06	-1.103766e-09	-2.010986e+01	-7.420595e+01
6.400000e-07	-2.677547e-06	-1.075879e-09	-1.908245e+01	-7.230509e+01
6.500000e-07	-2.532450e-06	-1.036355e-09	-1.804836e+01	-7.036310e+01
6.600000e-07	-2.386506e-06	-9.989350e-10	-1.700824e+01	-6.837767e+01
6.700000e-07	-2.239750e-06	-9.690460e-10	-1.596233e+01	-6.634659e+01
6.800000e-07	-2.092283e-06	-9.406088e-10	-1.491136e+01	-6.426799e+01
6.900000e-07	-1.944218e-06	-9.102887e-10	-1.385613e+01	-6.214041e+01
7.000000e-07	-1.795613e-06	-8.785737e-10	-1.279704e+01	-5.996290e+01
7.100000e-07	-1.646419e-06	-8.453060e-10	-1.173376e+01	-5.773487e+01
7.200000e-07	-1.496636e-06	-8.106908e-10	-1.066628e+01	-5.545602e+01
7.300000e-07	-1.346359e-06	-7.805914e-10	-9.595280e+00	-5.312607e+01
7.400000e-07	-1.195685e-06	-7.472010e-10	-8.521451e+00	-5.074461e+01
7.500000e-07	-1.044629e-06	-7.051134e-10	-7.444905e+00	-4.831080e+01
7.600000e-07	-8.931951e-07	-6.601641e-10	-6.365657e+00	-4.582327e+01
7.700000e-07	-7.414620e-07	-6.185316e-10	-5.284280e+00	-4.327998e+01
7.800000e-07	-5.894658e-07	-5.795751e-10	-4.201027e+00	-4.067821e+01
7.900000e-07	-4.372527e-07	-5.410166e-10	-3.116230e+00	-3.801460e+01
8.000000e-07	-2.848415e-07	-5.045099e-10	-2.030019e+00	-3.528527e+01
8.100000e-07	-1.322053e-07	-4.656553e-10	-9.422060e-01	-3.248598e+01
8.200000e-07	2.055871e-08	-4.231142e-10	1.465186e-01	-2.961231e+01
8.300000e-07	1.733210e-07	-3.804385e-10	1.235231e+00	-2.665983e+01
8.400000e-07	3.260073e-07	-3.361853e-10	2.323401e+00	-2.362428e+01
8.500000e-07	4.785777e-07	-2.870319e-10	3.410746e+00	-2.050169e+01
8.600000e-07	6.310062e-07	-2.356369e-10	4.497079e+00	-1.728857e+01
8.700000e-07	7.832040e-07	-1.843378e-10	5.581768e+00	-1.398199e+01
8.800000e-07	9.350804e-07	-1.327586e-10	6.664167e+00	-1.057975e+01
8.900000e-07	1.086658e-06	-8.002845e-11	7.744436e+00	-7.080564e+00
9.000000e-07	1.237861e-06	-2.813983e-11	8.822035e+00	-3.484296e+00
9.100000e-07	1.388536e-06	2.168235e-11	9.895874e+00	2.077553e-01
9.200000e-07	1.538710e-06	7.555628e-11	1.096614e+01	3.992539e+00
9.300000e-07	1.688400e-06	1.336307e-10	1.203296e+01	7.864909e+00
9.400000e-07	1.837561e-06	1.938259e-10	1.309600e+01	1.181731e+01
9.500000e-07	1.986092e-06	2.550721e-10	1.415456e+01	1.583954e+01
9.600000e-07	2.133880e-06	3.177710e-10	1.520782e+01	1.991863e+01
9.700000e-07	2.280915e-06	3.802835e-10	1.625571e+01	2.403890e+01
9.800000e-07	2.427174e-06	4.404051e-10	1.729807e+01	2.818217e+01
9.900000e-07	2.572484e-06	5.010243e-10	1.833368e+01	3.232830e+01
1.000000e-06	2.716770e-06	5.630842e-10	1.936198e+01	3.645578e+01
1.010000e-06	2.859992e-06	6.232818e-10	2.038270e+01	4.054259e+01
1.020000e-06	3.002131e-06	6.813230e-10	2.139570e+01	4.456715e+01
1.030000e-06	3.143128e-06	7.398180e-10	2.240057e+01	4.850926e+01
1.040000e-06	3.282825e-06	7.984380e-10	2.339616e+01	5.235100e+01
1.050000e-06	3.421204e-06	8.551132e-10	2.438237e+01	5.607753e+01
1.060000e-06	3.558192e-06	9.083976e-10	2.535866e+01	5.967759e+01
1.070000e-06	3.693802e-06	9.578451e-10	2.632513e+01	6.314380e+01
1.080000e-06	3.828094e-06	1.004345e-09	2.728221e+01	6.647262e+01
1.090000e-06	3.961066e-06	1.049818e-09	2.822987e+01	6.966406e+01
1.100000e-06	4.092700e-06	1.094122e-09	2.916801e+01	7.272109e+01
1.110000e-06	4.222826e-06	1.137497e-09	3.009540e+01	7.564895e+01
1.120000e-06	4.351367e-06	1.178962e-09	3.101149e+01	7.845423e+01
1.130000e-06	4.478359e-06	1.219172e-09	3.191654e+01	8.114412e+01
1.140000e-06	4.603853e-06	1.259924e-09	3.281091e+01	8.372555e+01
1.150000e-06	4.727896e-06	1.299711e-09	3.369495e+01	8.620467e+01
1.160000e-06	4.850337e-06	1.335613e-09	3.456757e+01	8.858639e+01
1.170000e-06	4.970945e-06	1.366179e-09	3.542712e+01	9.087426e+01
1.180000e-06	5.089702e-06	1.394248e-09	3.627348e+01	9.307052e+01
1.190000e-06	5.206662e-06	1.423623e-09	3.710704e+01	9.517633e+01
1.200000e-06	5.321631e-06	1.451155e-09	3.792640e+01	9.719221e+01
1.210000e-06	5.434442e-06	1.476381e-09	3.873039e+01	9.911846e+01
1.220000e-06	5.545196e-06	1.501032e-09	3.951971e+01	1.009556e+02
1.230000e-06	5.654086e-06	1.526611e-09	4.029575e+01	1.027048e+02
1.240000e-06	5.761051e-06	1.554338e-09	4.105808e+01	1.043679e+02
1.250000e-06	5.865886e-06	1.582116e-09	4.180522e+01	1.059480e+02
1.260000e-06	5.968496e-06	1.607113e-09	4.253651e+01	1.074488e+02
1.270000e-06	6.068921e-06	1.626928e-09	4.325222e+01	1.088748e+02
1.280000e-06	6.167083e-06	1.642169e-09	4.395181e+01	1.102310e+02
1.290000e-06	6.262835e-06	1.657465e-09	4.463421e+01	1.115224e+02
1.300000e-06	6.356338e-06	1.675779e-09	4.530059e+01	1.127537e+02
1.310000e-06	6.447674e-06	1.695567e-09	4.595153e+01	1.139293e+02
1.320000e-06	6.536679e-06	1.713277e-09	4.658585e+01	1.150527e+02
1.330000e-06	6.623295e-06	1.729136e-09	4.720315e+01	1.161270e+02
1.340000e-06	6.707629e-06	1.746128e-09	4.780419e+01	1.171544e+02
1.350000e-06	6.789596e-06	1.764433e-09	4.838835e+01	1.181366e+02
1.360000e-06	6.869029e-06	1.782215e-09	4.895446e+01	1.190749e+02
1.370000e-06	6.945964e-06	1.796839e-09	4.950277e+01	1.199704e+02
1.380000e-06	7.020322e-06	1.806430e-09	5.003270e+01	1.208245e+02
1.390000e-06	7.092016e-06	1.814223e-09	5.054365e+01	1.216384e+02
1.400000e-06	7.161175e-06	1.825021e-09	5.103653e+01	1.224136e+02
1.410000e-06	7.227771e-06	1.838843e-09	5.151116e+01	1.231518e+02
1.420000e-06	7.291771e-06	1.853019e-09	5.196727e+01	1.238545e+02
1.430000e-06	7.353337e-06	1.864848e-09	5.240604e+01	1.245234e+02
1.440000e-06	7.412420e-06	1.874134e-09	5.282712e+01	1.251597e+02
