# 260226_15:51:08.762324
t	CH1	CH2
0.000000e+00	-6.019034e-03	2.295269e+00
1.000000e-08	-6.783838e-03	2.041134e+00
2.000000e-08	-6.193113e-03	1.767896e+00
3.000000e-08	-5.693758e-03	1.453057e+00
4.000000e-08	-5.385423e-03	1.157771e+00
5.000000e-08	-5.078382e-03	8.715775e-01
6.000000e-08	-5.407777e-03	5.372671e-01
7.000000e-08	-3.574438e-03	2.541568e-01
8.000000e-08	-1.268713e-03	-2.065668e-02
9.000000e-08	6.364311e-03	-2.837832e-01
1.000000e-07	2.313988e-03	-5.173397e-01
1.100000e-07	-2.706496e-03	-8.006554e-01
1.200000e-07	1.171818e-03	-1.076157e+00
1.300000e-07	-2.488300e-03	-1.329119e+00
1.400000e-07	-1.121916e-03	-1.632682e+00
1.500000e-07	9.370391e-03	-1.863784e+00
1.600000e-07	4.501862e-02	-2.065863e+00
1.700000e-07	1.090633e-01	-2.411595e+00
1.800000e-07	-1.226149e-01	-2.759099e+00
1.900000e-07	1.740523e-02	-3.167424e+00
2.000000e-07	-5.905992e-02	-3.392153e+00
2.100000e-07	-6.884861e-03	-3.632604e+00
2.200000e-07	-1.172553e-01	-3.914762e+00
2.300000e-07	2.072799e-01	-4.033158e+00
2.400000e-07	-5.783988e-02	-4.284261e+00
2.500000e-07	-7.772205e-02	-4.529075e+00
2.600000e-07	1.895399e-01	-4.780150e+00
2.700000e-07	-2.231905e-01	-5.118291e+00
2.800000e-07	2.048261e-01	-5.392136e+00
2.900000e-07	-1.157780e-01	-5.665816e+00
3.000000e-07	3.656204e-02	-5.970499e+00
3.100000e-07	1.083252e-01	-6.242656e+00
3.200000e-07	-1.813786e-01	-6.515896e+00
3.300000e-07	1.667331e-01	-6.789503e+00
3.400000e-07	-9.322156e-02	-7.055307e+00
3.500000e-07	5.142708e-02	-7.349923e+00
3.600000e-07	-1.084371e-02	-7.591628e+00
3.700000e-07	-3.262191e-02	-7.925871e+00
3.800000e-07	1.370020e-01	-8.108493e+00
3.900000e-07	-1.433182e-01	-8.372556e+00
4.000000e-07	1.360031e-01	-8.623762e+00
4.100000e-07	-7.174120e-02	-8.895339e+00
4.200000e-07	3.923760e-02	-9.136320e+00
4.300000e-07	-2.242772e-02	-9.307343e+00
4.400000e-07	6.524759e-03	-9.590457e+00
4.500000e-07	7.977933e-02	-9.791603e+00
4.600000e-07	-6.213674e-02	-1.000266e+01
4.700000e-07	6.477729e-02	-1.021256e+01
4.800000e-07	-5.949927e-02	-1.044313e+01
4.900000e-07	7.599148e-02	-1.063411e+01
5.000000e-07	-3.967008e-02	-1.082363e+01
5.100000e-07	5.146705e-02	-1.104370e+01
5.200000e-07	-4.553281e-03	-1.121251e+01
5.300000e-07	1.506090e-02	-1.142263e+01
5.400000e-07	-2.028310e-03	-1.160413e+01
5.500000e-07	8.549444e-03	-1.185421e+01
5.600000e-07	3.756954e-02	-1.204256e+01
5.700000e-07	-6.802262e-03	-1.219263e+01
5.800000e-07	3.027873e-02	-1.236093e+01
5.900000e-07	-1.069403e-02	-1.255095e+01
6.000000e-07	4.073447e-02	-1.269737e+01
6.100000e-07	-7.005424e-03	-1.288636e+01
6.200000e-07	2.957487e-02	-1.303411e+01
6.300000e-07	-3.195082e-04	-1.314008e+01
6.400000e-07	2.835079e-02	-1.333898e+01
6.500000e-07	8.324863e-03	-1.346571e+01
6.600000e-07	2.550536e-02	-1.358159e+01
6.700000e-07	1.790675e-02	-1.376001e+01
6.800000e-07	1.761291e-02	-1.389879e+01
6.900000e-07	1.442534e-02	-1.400309e+01
7.000000e-07	1.562496e-02	-1.413940e+01
7.100000e-07	2.792331e-02	-1.424581e+01
7.200000e-07	2.088041e-02	-1.439046e+01
7.300000e-07	2.346557e-02	-1.449530e+01
