# Temperatura_=_42.33
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302442.78650217596

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.992906e-06	-1.657201e-08	-5.690303e+01	-1.083620e+03
1.000000e-08	-7.989794e-06	-1.657178e-08	-5.688087e+01	-1.083211e+03
2.000000e-08	-7.984002e-06	-1.656367e-08	-5.683964e+01	-1.082586e+03
3.000000e-08	-7.975556e-06	-1.655140e-08	-5.677951e+01	-1.081759e+03
4.000000e-08	-7.964347e-06	-1.653642e-08	-5.669971e+01	-1.080749e+03
5.000000e-08	-7.950212e-06	-1.651690e-08	-5.659908e+01	-1.079578e+03
6.000000e-08	-7.933167e-06	-1.649189e-08	-5.647773e+01	-1.078272e+03
7.000000e-08	-7.913664e-06	-1.646577e-08	-5.633889e+01	-1.076857e+03
8.000000e-08	-7.891907e-06	-1.646361e-08	-5.618399e+01	-1.075352e+03
9.000000e-08	-7.867268e-06	-1.646704e-08	-5.600859e+01	-1.073773e+03
1.000000e-07	-7.839308e-06	-1.643674e-08	-5.580953e+01	-1.072126e+03
1.100000e-07	-7.808299e-06	-1.639252e-08	-5.558877e+01	-1.070411e+03
1.200000e-07	-7.774484e-06	-1.634585e-08	-5.534803e+01	-1.068617e+03
1.300000e-07	-7.738015e-06	-1.628264e-08	-5.508841e+01	-1.066727e+03
1.400000e-07	-7.699299e-06	-1.620070e-08	-5.481278e+01	-1.064719e+03
1.500000e-07	-7.658503e-06	-1.618978e-08	-5.452234e+01	-1.062568e+03
1.600000e-07	-7.615213e-06	-1.622653e-08	-5.421415e+01	-1.060246e+03
1.700000e-07	-7.569176e-06	-1.617983e-08	-5.388641e+01	-1.057730e+03
1.800000e-07	-7.520457e-06	-1.612476e-08	-5.353957e+01	-1.054998e+03
1.900000e-07	-7.468747e-06	-1.603823e-08	-5.317144e+01	-1.052033e+03
2.000000e-07	-7.414081e-06	-1.594815e-08	-5.278226e+01	-1.048823e+03
2.100000e-07	-7.356656e-06	-1.588546e-08	-5.237344e+01	-1.045363e+03
2.200000e-07	-7.296509e-06	-1.585378e-08	-5.194524e+01	-1.041650e+03
2.300000e-07	-7.233784e-06	-1.584979e-08	-5.149869e+01	-1.037688e+03
2.400000e-07	-7.168317e-06	-1.574104e-08	-5.103261e+01	-1.033483e+03
2.500000e-07	-7.100075e-06	-1.565322e-08	-5.054679e+01	-1.029041e+03
2.600000e-07	-7.029190e-06	-1.563057e-08	-5.004214e+01	-1.024370e+03
2.700000e-07	-6.955529e-06	-1.555859e-08	-4.951774e+01	-1.019479e+03
2.800000e-07	-6.879089e-06	-1.544848e-08	-4.897355e+01	-1.014374e+03
2.900000e-07	-6.799922e-06	-1.537597e-08	-4.840995e+01	-1.009060e+03
3.000000e-07	-6.718118e-06	-1.529689e-08	-4.782757e+01	-1.003541e+03
3.100000e-07	-6.633953e-06	-1.518021e-08	-4.722838e+01	-9.978171e+02
3.200000e-07	-6.547536e-06	-1.511147e-08	-4.661316e+01	-9.918888e+02
3.300000e-07	-6.458801e-06	-1.503944e-08	-4.598144e+01	-9.857535e+02
3.400000e-07	-6.367698e-06	-1.491563e-08	-4.533286e+01	-9.794074e+02
3.500000e-07	-6.274282e-06	-1.479786e-08	-4.466781e+01	-9.728452e+02
3.600000e-07	-6.178632e-06	-1.470822e-08	-4.398686e+01	-9.660606e+02
3.700000e-07	-6.080688e-06	-1.461887e-08	-4.328958e+01	-9.590464e+02
3.800000e-07	-5.980491e-06	-1.450786e-08	-4.257626e+01	-9.517954e+02
3.900000e-07	-5.878152e-06	-1.439558e-08	-4.184769e+01	-9.443004e+02
4.000000e-07	-5.773748e-06	-1.427086e-08	-4.110441e+01	-9.365549e+02
4.100000e-07	-5.667341e-06	-1.412578e-08	-4.034688e+01	-9.285534e+02
4.200000e-07	-5.558952e-06	-1.399486e-08	-3.957524e+01	-9.202918e+02
4.300000e-07	-5.448656e-06	-1.389531e-08	-3.879002e+01	-9.117676e+02
4.400000e-07	-5.336366e-06	-1.377218e-08	-3.799061e+01	-9.029793e+02
4.500000e-07	-5.221973e-06	-1.360719e-08	-3.717622e+01	-8.939264e+02
4.600000e-07	-5.105526e-06	-1.345483e-08	-3.634721e+01	-8.846085e+02
4.700000e-07	-4.987171e-06	-1.332040e-08	-3.550462e+01	-8.750244e+02
4.800000e-07	-4.866990e-06	-1.317093e-08	-3.464903e+01	-8.651712e+02
4.900000e-07	-4.745060e-06	-1.301885e-08	-3.378099e+01	-8.550437e+02
5.000000e-07	-4.621425e-06	-1.287088e-08	-3.290080e+01	-8.446333e+02
5.100000e-07	-4.496122e-06	-1.269907e-08	-3.200875e+01	-8.339282e+02
5.200000e-07	-4.369197e-06	-1.251664e-08	-3.110515e+01	-8.229134e+02
5.300000e-07	-4.240631e-06	-1.234975e-08	-3.018986e+01	-8.115715e+02
5.400000e-07	-4.110534e-06	-1.217922e-08	-2.926367e+01	-7.998836e+02
5.500000e-07	-3.978907e-06	-1.198251e-08	-2.832660e+01	-7.878313e+02
5.600000e-07	-3.845750e-06	-1.178456e-08	-2.737863e+01	-7.753975e+02
5.700000e-07	-3.711123e-06	-1.159787e-08	-2.642020e+01	-7.625682e+02
5.800000e-07	-3.575086e-06	-1.139910e-08	-2.545172e+01	-7.493337e+02
5.900000e-07	-3.437680e-06	-1.118382e-08	-2.447350e+01	-7.356884e+02
6.000000e-07	-3.298950e-06	-1.097113e-08	-2.348586e+01	-7.216311e+02
6.100000e-07	-3.158859e-06	-1.075345e-08	-2.248852e+01	-7.071634e+02
6.200000e-07	-3.017305e-06	-1.051865e-08	-2.148077e+01	-6.922886e+02
6.300000e-07	-2.874489e-06	-1.028681e-08	-2.046404e+01	-6.770091e+02
6.400000e-07	-2.730627e-06	-1.006191e-08	-1.943985e+01	-6.613243e+02
6.500000e-07	-2.585772e-06	-9.820429e-09	-1.840861e+01	-6.452287e+02
6.600000e-07	-2.439991e-06	-9.556176e-09	-1.737076e+01	-6.287102e+02
6.700000e-07	-2.293357e-06	-9.290082e-09	-1.632685e+01	-6.117496e+02
6.800000e-07	-2.145980e-06	-9.023905e-09	-1.527764e+01	-5.943210e+02
6.900000e-07	-1.997915e-06	-8.747321e-09	-1.422354e+01	-5.763932e+02
7.000000e-07	-1.849198e-06	-8.464296e-09	-1.316480e+01	-5.579317e+02
7.100000e-07	-1.699952e-06	-8.177951e-09	-1.210228e+01	-5.389020e+02
7.200000e-07	-1.550251e-06	-7.880331e-09	-1.103653e+01	-5.192720e+02
7.300000e-07	-1.400071e-06	-7.567977e-09	-9.967373e+00	-4.990148e+02
7.400000e-07	-1.249404e-06	-7.249997e-09	-8.894749e+00	-4.781100e+02
7.500000e-07	-1.098258e-06	-6.925334e-09	-7.818708e+00	-4.565444e+02
7.600000e-07	-9.466359e-07	-6.589271e-09	-6.739282e+00	-4.343103e+02
7.700000e-07	-7.946390e-07	-6.240393e-09	-5.657187e+00	-4.114029e+02
