# 260226_15:58:13.594551
t	CH1	CH2
0.000000e+00	-6.097112e-03	2.348314e+00
1.000000e-08	-6.720476e-03	2.095208e+00
2.000000e-08	-5.873661e-03	1.834475e+00
3.000000e-08	-5.914237e-03	1.504760e+00
4.000000e-08	-5.756996e-03	1.190067e+00
5.000000e-08	-4.871817e-03	8.746512e-01
6.000000e-08	-5.005764e-03	5.884196e-01
7.000000e-08	-3.902472e-03	3.187379e-01
8.000000e-08	-2.489898e-03	4.249731e-02
9.000000e-08	3.769046e-03	-2.437093e-01
1.000000e-07	4.879868e-03	-4.943158e-01
1.100000e-07	-4.023814e-03	-8.099553e-01
1.200000e-07	2.728471e-03	-1.011034e+00
1.300000e-07	-3.297153e-03	-1.314876e+00
1.400000e-07	-7.593679e-05	-1.631055e+00
1.500000e-07	4.986065e-03	-1.872187e+00
1.600000e-07	3.730881e-02	-2.061212e+00
1.700000e-07	1.084163e-01	-2.345374e+00
1.800000e-07	-8.507768e-02	-2.724797e+00
1.900000e-07	-1.820305e-02	-3.062222e+00
2.000000e-07	-3.510517e-02	-3.368903e+00
2.100000e-07	-1.449367e-02	-3.579451e+00
2.200000e-07	-8.595181e-02	-3.893140e+00
2.300000e-07	1.096186e-01	-4.042583e+00
2.400000e-07	8.446426e-02	-4.280112e+00
2.500000e-07	-1.750668e-01	-4.547276e+00
2.600000e-07	2.126364e-01	-4.739008e+00
2.700000e-07	-1.788044e-01	-5.074667e+00
2.800000e-07	8.941810e-02	-5.451934e+00
2.900000e-07	2.385157e-02	-5.661692e+00
3.000000e-07	-9.283127e-02	-5.955775e+00
3.100000e-07	1.718703e-01	-6.178526e+00
3.200000e-07	-1.676944e-01	-6.454318e+00
3.300000e-07	9.408015e-02	-6.747852e+00
3.400000e-07	6.562750e-04	-7.063062e+00
3.500000e-07	-3.778763e-02	-7.346799e+00
3.600000e-07	6.701663e-02	-7.567430e+00
3.700000e-07	-9.855671e-02	-7.901618e+00
3.800000e-07	1.645107e-01	-8.128321e+00
3.900000e-07	-1.166117e-01	-8.347854e+00
4.000000e-07	6.572193e-02	-8.644008e+00
4.100000e-07	3.464395e-03	-8.863667e+00
4.200000e-07	-2.501631e-02	-9.115696e+00
4.300000e-07	3.509613e-02	-9.306195e+00
4.400000e-07	-4.337882e-02	-9.529380e+00
4.500000e-07	1.059140e-01	-9.789454e+00
4.600000e-07	-7.075451e-02	-9.979881e+00
4.700000e-07	5.181499e-02	-1.020346e+01
4.800000e-07	-3.943846e-02	-1.045211e+01
4.900000e-07	5.615442e-02	-1.062251e+01
5.000000e-07	-1.361078e-02	-1.079091e+01
5.100000e-07	1.269672e-02	-1.103250e+01
5.200000e-07	2.595003e-02	-1.122089e+01
5.300000e-07	-9.379593e-03	-1.144344e+01
5.400000e-07	2.041658e-02	-1.159996e+01
5.500000e-07	-1.187538e-02	-1.188351e+01
5.600000e-07	4.841914e-02	-1.202041e+01
5.700000e-07	-1.919464e-02	-1.224046e+01
5.800000e-07	3.042018e-02	-1.235935e+01
5.900000e-07	-9.441308e-03	-1.258875e+01
6.000000e-07	3.704816e-02	-1.269762e+01
6.100000e-07	-4.117622e-03	-1.287559e+01
6.200000e-07	1.736161e-02	-1.305299e+01
6.300000e-07	5.838623e-03	-1.317035e+01
6.400000e-07	1.769974e-02	-1.333827e+01
6.500000e-07	1.756054e-02	-1.348464e+01
6.600000e-07	1.538701e-02	-1.363197e+01
6.700000e-07	2.009366e-02	-1.374882e+01
6.800000e-07	7.436495e-03	-1.386659e+01
6.900000e-07	1.824779e-02	-1.403444e+01
7.000000e-07	1.243211e-02	-1.419181e+01
7.100000e-07	2.523329e-02	-1.428457e+01
7.200000e-07	1.571292e-02	-1.437081e+01
7.300000e-07	1.947546e-02	-1.447562e+01
7.400000e-07	1.345152e-02	-1.455988e+01
7.500000e-07	1.976729e-02	-1.465456e+01
7.600000e-07	2.330102e-02	-1.473867e+01
7.700000e-07	2.398535e-02	-1.480191e+01
7.800000e-07	2.041076e-02	-1.485607e+01
7.900000e-07	1.951610e-02	-1.496125e+01
8.000000e-07	2.131037e-02	-1.501990e+01
8.100000e-07	2.383734e-02	-1.507601e+01
8.200000e-07	2.169986e-02	-1.512674e+01
8.300000e-07	2.514503e-02	-1.518065e+01
8.400000e-07	2.546686e-02	-1.519088e+01
8.500000e-07	2.551594e-02	-1.525399e+01
8.600000e-07	2.690302e-02	-1.523306e+01
8.700000e-07	2.999654e-02	-1.525604e+01
8.800000e-07	2.842026e-02	-1.530407e+01
8.900000e-07	2.705383e-02	-1.531754e+01
9.000000e-07	3.069853e-02	-1.528620e+01
9.100000e-07	3.451058e-02	-1.532967e+01
9.200000e-07	3.485689e-02	-1.531725e+01
9.300000e-07	3.485551e-02	-1.529860e+01
9.400000e-07	3.550074e-02	-1.531714e+01
9.500000e-07	3.767737e-02	-1.532517e+01
9.600000e-07	3.854907e-02	-1.529406e+01
9.700000e-07	4.302661e-02	-1.524346e+01
9.800000e-07	4.502881e-02	-1.522091e+01
9.900000e-07	4.500572e-02	-1.513823e+01
1.000000e-06	4.563011e-02	-1.509610e+01
1.010000e-06	4.905561e-02	-1.507593e+01
1.020000e-06	5.062982e-02	-1.499195e+01
1.030000e-06	4.992389e-02	-1.495862e+01
1.040000e-06	5.007435e-02	-1.489559e+01
1.050000e-06	4.999813e-02	-1.479028e+01
1.060000e-06	4.784397e-02	-1.471613e+01
1.070000e-06	4.480694e-02	-1.464190e+01
1.080000e-06	4.441149e-02	-1.451822e+01
1.090000e-06	4.077441e-02	-1.441198e+01
1.100000e-06	3.961933e-02	-1.429814e+01
1.110000e-06	3.633826e-02	-1.418287e+01
1.120000e-06	3.555315e-02	-1.411614e+01
1.130000e-06	3.295909e-02	-1.397975e+01
1.140000e-06	3.171378e-02	-1.386148e+01
1.150000e-06	2.900875e-02	-1.370711e+01
1.160000e-06	2.776491e-02	-1.355685e+01
1.170000e-06	2.612918e-02	-1.345341e+01
1.180000e-06	2.558776e-02	-1.332562e+01
1.190000e-06	2.366194e-02	-1.313724e+01
1.200000e-06	2.211795e-02	-1.302145e+01
1.210000e-06	2.057038e-02	-1.284506e+01
1.220000e-06	2.043730e-02	-1.274866e+01
1.230000e-06	1.885205e-02	-1.260117e+01
1.240000e-06	1.799085e-02	-1.236132e+01
1.250000e-06	1.766978e-02	-1.222193e+01
1.260000e-06	1.746680e-02	-1.204200e+01
1.270000e-06	1.436169e-02	-1.183401e+01
1.280000e-06	1.508793e-02	-1.163385e+01
1.290000e-06	1.371296e-02	-1.145140e+01
1.300000e-06	1.261008e-02	-1.123248e+01
1.310000e-06	1.166936e-02	-1.104984e+01
1.320000e-06	1.226595e-02	-1.081182e+01
1.330000e-06	1.160708e-02	-1.063195e+01
1.340000e-06	1.012749e-02	-1.037090e+01
1.350000e-06	9.331720e-03	-1.016980e+01
1.360000e-06	8.285155e-03	-9.918719e+00
1.370000e-06	7.651691e-03	-9.757169e+00
1.380000e-06	6.185210e-03	-9.557118e+00
1.390000e-06	6.838158e-03	-9.297034e+00
1.400000e-06	5.047531e-03	-9.025030e+00
1.410000e-06	5.281128e-03	-8.843451e+00
1.420000e-06	4.456341e-03	-8.589924e+00
1.430000e-06	4.775118e-03	-8.337715e+00
1.440000e-06	3.508234e-03	-8.126214e+00
1.450000e-06	3.622381e-03	-7.864050e+00
1.460000e-06	3.215018e-03	-7.600771e+00
1.470000e-06	2.755207e-03	-7.327233e+00
1.480000e-06	2.062090e-03	-7.094033e+00
1.490000e-06	1.526494e-03	-6.770873e+00
1.500000e-06	2.180766e-03	-6.568843e+00
1.510000e-06	1.526764e-03	-6.326210e+00
1.520000e-06	1.014538e-03	-6.051972e+00
1.530000e-06	9.360309e-04	-5.819917e+00
1.540000e-06	1.132615e-03	-5.506714e+00
1.550000e-06	-7.964294e-04	-5.202420e+00
1.560000e-06	4.737623e-04	-4.906684e+00
1.570000e-06	-1.498068e-03	-4.580793e+00
1.580000e-06	4.025979e-04	-4.358818e+00
1.590000e-06	-8.912850e-04	-4.146184e+00
1.600000e-06	-6.336265e-04	-3.862030e+00
1.610000e-06	-1.127114e-03	-3.549317e+00
1.620000e-06	-3.493122e-03	-3.313656e+00
1.630000e-06	-2.699877e-03	-3.011346e+00
1.640000e-06	-4.200539e-03	-2.716180e+00
1.650000e-06	-3.341498e-03	-2.414473e+00
1.660000e-06	-2.036624e-03	-2.098710e+00
1.670000e-06	-3.991823e-03	-1.862554e+00
1.680000e-06	-5.587369e-03	-1.610442e+00
1.690000e-06	-3.712916e-03	-1.253951e+00
1.700000e-06	-5.461381e-03	-9.183140e-01
1.710000e-06	8.375087e-04	-6.530302e-01
1.720000e-06	-3.773192e-03	-3.483634e-01
1.730000e-06	-3.177084e-03	-6.518544e-02
1.740000e-06	-2.091352e-03	1.505044e-01
1.750000e-06	3.746678e-03	4.341618e-01
1.760000e-06	-7.684067e-03	7.442474e-01
1.770000e-06	2.173738e-03	9.990014e-01
1.780000e-06	-6.294452e-03	1.283742e+00
1.790000e-06	2.672814e-04	1.639581e+00
1.800000e-06	-6.310171e-03	1.863160e+00
1.810000e-06	1.805616e-02	2.052663e+00
1.820000e-06	2.908793e-02	2.315825e+00
1.830000e-06	8.676704e-02	2.671587e+00
1.840000e-06	-9.017830e-02	2.999003e+00
1.850000e-06	-3.114502e-02	3.310187e+00
1.860000e-06	-4.585299e-02	3.545924e+00
1.870000e-06	-1.870921e-03	3.759954e+00
1.880000e-06	-5.482300e-02	4.000080e+00
1.890000e-06	1.384065e-02	4.233158e+00
1.900000e-06	8.477568e-02	4.463692e+00
1.910000e-06	-7.568834e-02	4.792330e+00
1.920000e-06	-1.498861e-02	5.061163e+00
1.930000e-06	1.183255e-01	5.347874e+00
1.940000e-06	-1.482270e-01	5.610511e+00
1.950000e-06	8.136348e-02	5.924722e+00
1.960000e-06	-6.184989e-02	6.178852e+00
1.970000e-06	3.632751e-02	6.420564e+00
1.980000e-06	-1.249307e-02	6.746270e+00
1.990000e-06	-4.045074e-02	6.949330e+00
2.000000e-06	4.108503e-02	7.201659e+00
2.010000e-06	-5.689983e-02	7.538399e+00
2.020000e-06	1.653824e-02	7.782959e+00
2.030000e-06	-4.954977e-02	8.134246e+00
2.040000e-06	5.252449e-02	8.337871e+00
2.050000e-06	-1.802938e-02	8.559972e+00
2.060000e-06	-5.012495e-02	8.799429e+00
2.070000e-06	2.441486e-02	9.043610e+00
2.080000e-06	-2.429060e-02	9.275088e+00
2.090000e-06	-3.049382e-03	9.466741e+00
2.100000e-06	-3.849518e-02	9.708300e+00
2.110000e-06	2.383371e-02	9.939400e+00
2.120000e-06	-2.264534e-02	1.018032e+01
2.130000e-06	-2.484959e-02	1.035990e+01
2.140000e-06	-1.237721e-02	1.060145e+01
2.150000e-06	-3.284601e-03	1.080146e+01
2.160000e-06	-5.977285e-03	1.102190e+01
2.170000e-06	-3.759980e-02	1.118085e+01
2.180000e-06	3.575144e-03	1.139293e+01
2.190000e-06	-1.231869e-02	1.159246e+01
2.200000e-06	-8.824392e-03	1.181256e+01
2.210000e-06	-3.528179e-02	1.197883e+01
2.220000e-06	-9.015981e-04	1.218938e+01
2.230000e-06	-1.823688e-02	1.230885e+01
2.240000e-06	-1.439563e-02	1.249764e+01
2.250000e-06	-2.240358e-02	1.265659e+01
2.260000e-06	-1.309780e-02	1.284259e+01
2.270000e-06	-1.805982e-02	1.301148e+01
2.280000e-06	-2.396973e-02	1.316734e+01
2.290000e-06	-1.586739e-02	1.329722e+01
2.300000e-06	-1.965318e-02	1.343308e+01
2.310000e-06	-1.410566e-02	1.359040e+01
2.320000e-06	-2.463993e-02	1.371978e+01
2.330000e-06	-1.645468e-02	1.388557e+01
2.340000e-06	-2.301052e-02	1.403344e+01
2.350000e-06	-1.932252e-02	1.413780e+01
2.360000e-06	-2.412622e-02	1.430767e+01
2.370000e-06	-2.379251e-02	1.442441e+01
2.380000e-06	-2.254316e-02	1.451725e+01
2.390000e-06	-2.521673e-02	1.462195e+01
2.400000e-06	-2.207535e-02	1.467554e+01
2.410000e-06	-2.936466e-02	1.474835e+01
2.420000e-06	-2.232548e-02	1.481614e+01
2.430000e-06	-2.742068e-02	1.490617e+01
2.440000e-06	-2.516614e-02	1.497988e+01
2.450000e-06	-3.016312e-02	1.501399e+01
2.460000e-06	-2.765470e-02	1.509604e+01
2.470000e-06	-2.969467e-02	1.513977e+01
2.480000e-06	-3.370117e-02	1.515133e+01
2.490000e-06	-3.194153e-02	1.527448e+01
2.500000e-06	-3.088423e-02	1.528414e+01
2.510000e-06	-3.351129e-02	1.530709e+01
2.520000e-06	-3.629870e-02	1.530715e+01
2.530000e-06	-3.412420e-02	1.533070e+01
2.540000e-06	-3.513729e-02	1.540075e+01
2.550000e-06	-3.520585e-02	1.536185e+01
2.560000e-06	-4.012568e-02	1.540175e+01
2.570000e-06	-3.899247e-02	1.536180e+01
2.580000e-06	-4.306102e-02	1.539027e+01
2.590000e-06	-4.591453e-02	1.537077e+01
2.600000e-06	-4.473895e-02	1.538075e+01
2.610000e-06	-4.523238e-02	1.533969e+01
2.620000e-06	-4.511094e-02	1.532869e+01
2.630000e-06	-5.205604e-02	1.527604e+01
2.640000e-06	-4.974108e-02	1.526339e+01
2.650000e-06	-5.173428e-02	1.523030e+01
2.660000e-06	-5.513477e-02	1.512972e+01
2.670000e-06	-5.750196e-02	1.508456e+01
2.680000e-06	-5.831326e-02	1.497086e+01
2.690000e-06	-5.651287e-02	1.492975e+01
2.700000e-06	-5.665097e-02	1.487561e+01
2.710000e-06	-5.385858e-02	1.478035e+01
2.720000e-06	-5.330387e-02	1.471677e+01
2.730000e-06	-5.129945e-02	1.463435e+01
2.740000e-06	-5.019206e-02	1.451822e+01
2.750000e-06	-4.771164e-02	1.440296e+01
2.760000e-06	-4.406653e-02	1.430516e+01
2.770000e-06	-4.417853e-02	1.417028e+01
2.780000e-06	-3.958644e-02	1.406543e+01
2.790000e-06	-4.159887e-02	1.389764e+01
2.800000e-06	-3.563395e-02	1.379185e+01
2.810000e-06	-3.735986e-02	1.362548e+01
2.820000e-06	-3.418780e-02	1.349609e+01
2.830000e-06	-3.634369e-02	1.336237e+01
2.840000e-06	-2.953879e-02	1.325340e+01
2.850000e-06	-2.999551e-02	1.312509e+01
2.860000e-06	-2.880635e-02	1.297827e+01
2.870000e-06	-2.992523e-02	1.276934e+01
2.880000e-06	-2.693655e-02	1.263248e+01
2.890000e-06	-2.691353e-02	1.245411e+01
2.900000e-06	-2.474234e-02	1.230702e+01
2.910000e-06	-2.442954e-02	1.212969e+01
2.920000e-06	-2.207234e-02	1.194822e+01
2.930000e-06	-2.343135e-02	1.172925e+01
2.940000e-06	-2.227470e-02	1.152130e+01
2.950000e-06	-2.126910e-02	1.131824e+01
2.960000e-06	-1.961629e-02	1.113775e+01
2.970000e-06	-2.031430e-02	1.097727e+01
2.980000e-06	-1.974692e-02	1.076876e+01
2.990000e-06	-1.935042e-02	1.054072e+01
3.000000e-06	-1.783471e-02	1.029626e+01
3.010000e-06	-1.734867e-02	1.009756e+01
3.020000e-06	-1.653361e-02	9.876158e+00
3.030000e-06	-1.614651e-02	9.599474e+00
3.040000e-06	-1.591434e-02	9.402323e+00
3.050000e-06	-1.474755e-02	9.151446e+00
3.060000e-06	-1.387572e-02	8.959849e+00
3.070000e-06	-1.348321e-02	8.676209e+00
3.080000e-06	-1.503306e-02	8.494534e+00
3.090000e-06	-1.299306e-02	8.223452e+00
3.100000e-06	-1.293226e-02	8.051847e+00
3.110000e-06	-1.220000e-02	7.748717e+00
3.120000e-06	-1.223499e-02	7.526558e+00
3.130000e-06	-1.232991e-02	7.222895e+00
3.140000e-06	-1.107516e-02	6.977371e+00
3.150000e-06	-1.135853e-02	6.675612e+00
3.160000e-06	-1.122659e-02	6.431006e+00
3.170000e-06	-1.094125e-02	6.170369e+00
3.180000e-06	-9.974773e-03	5.959216e+00
3.190000e-06	-1.064375e-02	5.673553e+00
3.200000e-06	-9.277243e-03	5.391896e+00
3.210000e-06	-9.493743e-03	5.074210e+00
3.220000e-06	-9.047446e-03	4.749292e+00
3.230000e-06	-8.831581e-03	4.515735e+00
3.240000e-06	-8.923983e-03	4.253102e+00
3.250000e-06	-8.621973e-03	3.988338e+00
3.260000e-06	-5.969684e-03	3.705556e+00
3.270000e-06	-8.835406e-03	3.442076e+00
3.280000e-06	-6.960528e-03	3.077763e+00
3.290000e-06	-8.270851e-03	2.864133e+00
3.300000e-06	-4.726491e-03	2.610388e+00
3.310000e-06	-5.699289e-03	2.264704e+00
3.320000e-06	-5.809187e-03	2.001995e+00
3.330000e-06	-6.184262e-03	1.689308e+00
3.340000e-06	-6.379160e-03	1.379522e+00
3.350000e-06	-6.554397e-03	1.074653e+00
3.360000e-06	-5.433567e-03	7.780144e-01
3.370000e-06	-5.220528e-03	4.857342e-01
3.380000e-06	-2.378179e-03	2.009986e-01
3.390000e-06	-2.284626e-03	-8.366567e-02
3.400000e-06	9.835009e-03	-3.558460e-01
3.410000e-06	-2.779455e-03	-6.100030e-01
3.420000e-06	3.428131e-03	-9.137118e-01
3.430000e-06	-3.846212e-03	-1.125895e+00
3.440000e-06	3.173359e-04	-1.443557e+00
3.450000e-06	-4.866097e-03	-1.674787e+00
3.460000e-06	1.924437e-02	-1.945294e+00
3.470000e-06	5.482202e-02	-2.115394e+00
3.480000e-06	8.267124e-02	-2.463716e+00
3.490000e-06	-1.225840e-01	-2.841636e+00
3.500000e-06	2.571906e-02	-3.240532e+00
3.510000e-06	-6.182612e-02	-3.451187e+00
3.520000e-06	-5.696147e-03	-3.662663e+00
3.530000e-06	-9.112045e-02	-3.945873e+00
3.540000e-06	2.140479e-01	-4.095292e+00
3.550000e-06	-9.625329e-02	-4.317823e+00
3.560000e-06	-2.858918e-02	-4.684508e+00
3.570000e-06	1.416825e-01	-4.853690e+00
3.580000e-06	-1.911548e-01	-5.192057e+00
3.590000e-06	1.945130e-01	-5.552221e+00
3.600000e-06	-1.255684e-01	-5.776955e+00
3.610000e-06	6.044891e-02	-6.003135e+00
3.620000e-06	5.898955e-02	-6.305094e+00
3.630000e-06	-1.415900e-01	-6.587907e+00
