# Temperatura_=_67.38
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302429.80938963534

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.920726e-06	-1.391042e-08	-5.690342e+01	-9.107013e+02
1.000000e-08	-7.916961e-06	-1.390533e-08	-5.687637e+01	-9.102717e+02
2.000000e-08	-7.910649e-06	-1.389640e-08	-5.683102e+01	-9.096760e+02
3.000000e-08	-7.901684e-06	-1.388940e-08	-5.676662e+01	-9.089274e+02
4.000000e-08	-7.889869e-06	-1.387744e-08	-5.668174e+01	-9.080405e+02
5.000000e-08	-7.875111e-06	-1.385956e-08	-5.657571e+01	-9.070291e+02
6.000000e-08	-7.857552e-06	-1.383829e-08	-5.644956e+01	-9.059048e+02
7.000000e-08	-7.837692e-06	-1.380366e-08	-5.630689e+01	-9.046757e+02
8.000000e-08	-7.815517e-06	-1.380760e-08	-5.614758e+01	-9.033459e+02
9.000000e-08	-7.790324e-06	-1.385722e-08	-5.596659e+01	-9.019151e+02
1.000000e-07	-7.761863e-06	-1.380390e-08	-5.576213e+01	-9.003795e+02
1.100000e-07	-7.730516e-06	-1.373036e-08	-5.553693e+01	-8.987324e+02
1.200000e-07	-7.696434e-06	-1.370133e-08	-5.529208e+01	-8.969656e+02
1.300000e-07	-7.659742e-06	-1.367265e-08	-5.502848e+01	-8.950700e+02
1.400000e-07	-7.620803e-06	-1.360227e-08	-5.474873e+01	-8.930370e+02
1.500000e-07	-7.579761e-06	-1.354023e-08	-5.445388e+01	-8.908587e+02
1.600000e-07	-7.536286e-06	-1.361046e-08	-5.414155e+01	-8.885282e+02
1.700000e-07	-7.490109e-06	-1.347952e-08	-5.380981e+01	-8.860395e+02
1.800000e-07	-7.441145e-06	-1.343184e-08	-5.345805e+01	-8.833870e+02
1.900000e-07	-7.389229e-06	-1.348142e-08	-5.308508e+01	-8.805653e+02
2.000000e-07	-7.334450e-06	-1.335662e-08	-5.269154e+01	-8.775686e+02
2.100000e-07	-7.276941e-06	-1.333725e-08	-5.227839e+01	-8.743907e+02
2.200000e-07	-7.216780e-06	-1.327875e-08	-5.184619e+01	-8.710254e+02
2.300000e-07	-7.154099e-06	-1.323690e-08	-5.139588e+01	-8.674665e+02
2.400000e-07	-7.088695e-06	-1.317817e-08	-5.092601e+01	-8.637089e+02
2.500000e-07	-7.020539e-06	-1.309098e-08	-5.043637e+01	-8.597490e+02
2.600000e-07	-6.949785e-06	-1.305094e-08	-4.992806e+01	-8.555860e+02
2.700000e-07	-6.876299e-06	-1.296718e-08	-4.940013e+01	-8.512218e+02
2.800000e-07	-6.800068e-06	-1.288467e-08	-4.885248e+01	-8.466612e+02
2.900000e-07	-6.721082e-06	-1.280258e-08	-4.828504e+01	-8.419115e+02
3.000000e-07	-6.639454e-06	-1.277097e-08	-4.769861e+01	-8.369819e+02
3.100000e-07	-6.555556e-06	-1.270563e-08	-4.709587e+01	-8.318813e+02
3.200000e-07	-6.469423e-06	-1.258546e-08	-4.647709e+01	-8.266178e+02
3.300000e-07	-6.380938e-06	-1.252686e-08	-4.584140e+01	-8.211964e+02
3.400000e-07	-6.290151e-06	-1.244503e-08	-4.518917e+01	-8.156183e+02
3.500000e-07	-6.197129e-06	-1.234566e-08	-4.452089e+01	-8.098797e+02
3.600000e-07	-6.101853e-06	-1.224595e-08	-4.383642e+01	-8.039721e+02
3.700000e-07	-6.004264e-06	-1.216500e-08	-4.313533e+01	-7.978830e+02
3.800000e-07	-5.904480e-06	-1.206955e-08	-4.241847e+01	-7.915970e+02
3.900000e-07	-5.802616e-06	-1.194768e-08	-4.168667e+01	-7.850974e+02
4.000000e-07	-5.698708e-06	-1.185354e-08	-4.094018e+01	-7.783690e+02
4.100000e-07	-5.592789e-06	-1.175560e-08	-4.017925e+01	-7.713991e+02
4.200000e-07	-5.484868e-06	-1.164804e-08	-3.940393e+01	-7.641797e+02
4.300000e-07	-5.375049e-06	-1.151885e-08	-3.861498e+01	-7.567081e+02
4.400000e-07	-5.263395e-06	-1.141052e-08	-3.781284e+01	-7.489865e+02
4.500000e-07	-5.149673e-06	-1.130108e-08	-3.699585e+01	-7.410217e+02
4.600000e-07	-5.033833e-06	-1.116923e-08	-3.616364e+01	-7.328231e+02
4.700000e-07	-4.916153e-06	-1.103600e-08	-3.531822e+01	-7.244002e+02
4.800000e-07	-4.796734e-06	-1.090880e-08	-3.446029e+01	-7.157606e+02
4.900000e-07	-4.675475e-06	-1.077992e-08	-3.358915e+01	-7.069077e+02
5.000000e-07	-4.552451e-06	-1.063617e-08	-3.270534e+01	-6.978388e+02
5.100000e-07	-4.427868e-06	-1.049335e-08	-3.181032e+01	-6.885446e+02
5.200000e-07	-4.301701e-06	-1.034306e-08	-3.090392e+01	-6.790092e+02
5.300000e-07	-4.174006e-06	-1.018511e-08	-2.998655e+01	-6.692120e+02
5.400000e-07	-4.044837e-06	-1.002208e-08	-2.905858e+01	-6.591290e+02
5.500000e-07	-3.914079e-06	-9.864765e-09	-2.811920e+01	-6.487363e+02
5.600000e-07	-3.781805e-06	-9.706445e-09	-2.716892e+01	-6.380125e+02
5.700000e-07	-3.648071e-06	-9.537711e-09	-2.620817e+01	-6.269413e+02
5.800000e-07	-3.512958e-06	-9.365711e-09	-2.523750e+01	-6.155133e+02
5.900000e-07	-3.376592e-06	-9.188865e-09	-2.425783e+01	-6.037261e+02
